Query Node Name,d,u,cheap,ok,expensive
price,40,1000,0.778125,0.194791666667,0.0270833333333
price,40,1000,0.54375,0.354166666667,0.102083333333
price,40,1000,0.630208333333,0.309375,0.0604166666667
price,40,10000,0.596485943775,0.318273092369,0.0852409638554
price,40,10000,0.61375502008,0.309036144578,0.0772088353414
price,40,10000,0.637449799197,0.295883534137,0.0666666666667
price,40,1000,0.55,0.348958333333,0.101041666667
price,40,1000,0.671875,0.278125,0.05
price,40,1000,0.641666666667,0.267708333333,0.090625
price,40,1000,0.590625,0.325,0.084375
price,40,1000,0.617708333333,0.279166666667,0.103125
price,40,1000,0.521875,0.394791666667,0.0833333333333
price,40,1000,0.559375,0.3375,0.103125
price,0,5,0.2,0.8,0.0
price,0,10,1.0,0.0,0.0
price,0,15,0.866666666667,0.133333333333,0.0
price,0,20,1.0,0.0,0.0
price,0,25,0.68,0.32,0.0
price,0,30,0.733333333333,0.266666666667,0.0
price,0,35,1.0,0.0,0.0
price,0,40,0.3,0.65,0.05
price,0,45,0.311111111111,0.688888888889,0.0
price,0,50,0.9,0.1,0.0
price,0,55,0.890909090909,0.109090909091,0.0
price,0,60,0.416666666667,0.583333333333,0.0
price,0,65,0.476923076923,0.0923076923077,0.430769230769
price,0,70,0.785714285714,0.214285714286,0.0
price,0,75,0.92,0.0666666666667,0.0133333333333
price,0,80,1.0,0.0,0.0
price,0,85,0.764705882353,0.223529411765,0.0117647058824
price,0,90,0.466666666667,0.344444444444,0.188888888889
price,0,95,0.705263157895,0.263157894737,0.0315789473684
price,0,100,0.34,0.4,0.26
price,0,105,0.647619047619,0.352380952381,0.0
price,0,110,0.436363636364,0.372727272727,0.190909090909
price,0,115,0.15652173913,0.652173913043,0.191304347826
price,0,120,0.308333333333,0.441666666667,0.25
price,0,125,0.624,0.376,0.0
price,0,130,0.784615384615,0.1,0.115384615385
price,0,135,0.207407407407,0.474074074074,0.318518518519
price,0,140,0.25,0.335714285714,0.414285714286
price,0,145,0.88275862069,0.0965517241379,0.0206896551724
price,0,150,0.66,0.286666666667,0.0533333333333
price,0,155,0.348387096774,0.587096774194,0.0645161290323
price,0,160,0.28125,0.4125,0.30625
price,0,165,0.660606060606,0.236363636364,0.10303030303
price,0,170,0.547058823529,0.305882352941,0.147058823529
price,0,175,0.428571428571,0.331428571429,0.24
price,0,180,0.477777777778,0.5,0.0222222222222
price,0,185,0.686486486486,0.297297297297,0.0162162162162
price,0,190,0.478947368421,0.452631578947,0.0684210526316
price,0,195,0.610256410256,0.389743589744,0.0
price,0,200,0.43,0.415,0.155
price,0,205,0.487804878049,0.385365853659,0.126829268293
price,0,210,0.804761904762,0.195238095238,0.0
price,0,215,0.758139534884,0.241860465116,0.0
price,0,220,0.522727272727,0.459090909091,0.0181818181818
price,0,225,0.84,0.151111111111,0.00888888888889
price,0,230,0.64347826087,0.35652173913,0.0
price,0,235,0.310638297872,0.408510638298,0.28085106383
price,0,240,0.358333333333,0.375,0.266666666667
price,0,245,0.612244897959,0.277551020408,0.110204081633
price,0,250,0.312,0.528,0.16
price,0,255,0.482352941176,0.380392156863,0.137254901961
price,0,260,0.388461538462,0.411538461538,0.2
price,0,265,0.592452830189,0.354716981132,0.0528301886792
price,0,270,0.833333333333,0.166666666667,0.0
price,0,275,0.534545454545,0.294545454545,0.170909090909
price,0,280,0.539285714286,0.417857142857,0.0428571428571
price,0,285,0.60701754386,0.378947368421,0.0140350877193
price,0,290,0.541379310345,0.448275862069,0.0103448275862
price,0,295,0.545762711864,0.352542372881,0.101694915254
price,0,300,0.39,0.583333333333,0.0266666666667
price,0,305,0.629508196721,0.209836065574,0.160655737705
price,0,310,0.677419354839,0.277419354839,0.0451612903226
price,0,315,0.365079365079,0.48253968254,0.152380952381
price,0,320,0.640625,0.321875,0.0375
price,0,325,0.541538461538,0.363076923077,0.0953846153846
price,0,330,0.730303030303,0.242424242424,0.0272727272727
price,0,335,0.388059701493,0.319402985075,0.292537313433
price,0,340,0.420588235294,0.385294117647,0.194117647059
price,0,345,0.286956521739,0.469565217391,0.24347826087
price,0,350,0.645714285714,0.237142857143,0.117142857143
price,0,355,0.478873239437,0.397183098592,0.123943661972
price,0,360,0.594444444444,0.322222222222,0.0833333333333
price,0,365,0.586301369863,0.315068493151,0.0986301369863
price,0,370,0.427027027027,0.467567567568,0.105405405405
price,0,375,0.501333333333,0.432,0.0666666666667
price,0,380,0.565789473684,0.394736842105,0.0394736842105
price,0,385,0.542857142857,0.415584415584,0.0415584415584
price,0,390,0.333333333333,0.45641025641,0.210256410256
price,0,395,0.617721518987,0.26582278481,0.116455696203
price,0,400,0.7575,0.2125,0.03
price,0,405,0.545679012346,0.340740740741,0.113580246914
price,0,410,0.529268292683,0.273170731707,0.19756097561
price,0,415,0.587951807229,0.35421686747,0.0578313253012
price,0,420,0.592857142857,0.169047619048,0.238095238095
price,0,425,0.543529411765,0.390588235294,0.0658823529412
price,0,430,0.658139534884,0.286046511628,0.0558139534884
price,0,435,0.418390804598,0.363218390805,0.218390804598
price,0,440,0.645454545455,0.238636363636,0.115909090909
price,0,445,0.440449438202,0.330337078652,0.229213483146
price,0,450,0.5,0.384444444444,0.115555555556
price,0,455,0.567032967033,0.195604395604,0.237362637363
price,0,460,0.517391304348,0.263043478261,0.219565217391
price,0,465,0.649462365591,0.318279569892,0.0322580645161
price,0,470,0.627659574468,0.293617021277,0.0787234042553
price,0,475,0.589473684211,0.332631578947,0.0778947368421
price,0,480,0.683333333333,0.210416666667,0.10625
price,0,485,0.538144329897,0.4,0.0618556701031
price,0,490,0.412244897959,0.39387755102,0.19387755102
price,0,495,0.456565656566,0.387878787879,0.155555555556
price,0,500,0.714,0.204,0.082
price,200,500,0.37,0.49,0.14
price,400,500,0.71,0.19,0.1
